epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.666,1.69432,6.06104,1.62691,0,0,0,0,1.75946,6.68359,2.1091,5.75e-06,5.75e-06,5.75e-06
2,407.788,1.42245,5.9933,1.48549,0,0,0,0,1.09082,6.33043,1.50428,1.13429e-05,1.13429e-05,1.13429e-05
3,608.888,1.29043,5.9394,1.37649,0,0,0,0,0.9354,6.2593,1.3387,1.65411e-05,1.65411e-05,1.65411e-05
4,813.295,1.20363,5.91715,1.34156,0,0,0,0,0.92515,6.22101,1.31949,2.0723e-05,2.0723e-05,2.0723e-05
5,1011.75,1.13669,5.87898,1.27785,0,0,0,0,0.93744,6.1794,1.30615,1.9964e-05,1.9964e-05,1.9964e-05
6,1212.98,1.13974,5.86692,1.25843,0,0,0,0,0.93823,6.13009,1.28113,1.9205e-05,1.9205e-05,1.9205e-05
7,1413.87,1.06995,5.80078,1.22927,0.00082,0.00246,0.00244,0.00244,0.9281,6.10132,1.26088,1.8446e-05,1.8446e-05,1.8446e-05
8,1612.66,1.0346,5.75691,1.22003,0.00049,0.00246,0.00122,0.00122,0.91158,6.06733,1.23847,1.7687e-05,1.7687e-05,1.7687e-05
9,1821.72,1.12824,5.79975,1.18907,0.00035,0.00246,0.00122,0.00122,0.89424,6.04875,1.22366,1.6928e-05,1.6928e-05,1.6928e-05
10,2023.75,1.08466,5.78135,1.19957,0.00015,0.00246,0.00122,0.00122,0.88372,6.02711,1.20796,1.6169e-05,1.6169e-05,1.6169e-05
11,2223.95,1.06465,5.76831,1.17509,0.00086,0.00983,0.00282,0.00269,0.87598,6.01043,1.19774,1.541e-05,1.541e-05,1.541e-05
12,2428.73,1.07057,5.74414,1.17625,0.0007,0.01229,0.00391,0.00366,0.86927,5.98839,1.19304,1.4651e-05,1.4651e-05,1.4651e-05
13,2629.56,0.99853,5.7069,1.16457,0.0013,0.01474,0.00328,0.00315,0.86133,5.97421,1.18658,1.3892e-05,1.3892e-05,1.3892e-05
14,2829.59,0.97925,5.70099,1.17502,0.00122,0.00996,0.00358,0.00345,0.85342,5.96575,1.18145,1.3133e-05,1.3133e-05,1.3133e-05
15,3033.63,1.00675,5.67655,1.16478,0.00106,0.01242,0.00473,0.00448,0.84933,5.951,1.17846,1.2374e-05,1.2374e-05,1.2374e-05
16,3242.65,1.0197,5.67385,1.15171,0.00119,0.01734,0.00439,0.00413,0.85059,5.9351,1.17756,1.1615e-05,1.1615e-05,1.1615e-05
17,3445.16,0.98394,5.63414,1.15714,0.00101,0.01747,0.00451,0.0042,0.84989,5.92586,1.17429,1.0856e-05,1.0856e-05,1.0856e-05
18,3652.8,1.00049,5.63044,1.1358,0.00108,0.01884,0.00498,0.00466,0.85078,5.91532,1.17062,1.0097e-05,1.0097e-05,1.0097e-05
19,3858.75,1.02555,5.62795,1.1649,0.00104,0.02129,0.0052,0.00488,0.84746,5.90358,1.16659,9.338e-06,9.338e-06,9.338e-06
20,4060.36,0.95264,5.61435,1.13164,0.00095,0.02129,0.00523,0.00493,0.84272,5.89316,1.16275,8.579e-06,8.579e-06,8.579e-06
21,4261.94,1.10034,5.98112,1.20384,0.00095,0.02483,0.00715,0.00672,0.85281,5.87803,1.16964,7.82e-06,7.82e-06,7.82e-06
22,4464.23,1.06968,5.92063,1.18103,0.00091,0.02974,0.00723,0.00679,0.85345,5.86312,1.17471,7.061e-06,7.061e-06,7.061e-06
23,4664.67,1.04826,5.89307,1.16034,0.00078,0.03245,0.00577,0.00557,0.85434,5.85075,1.17641,6.302e-06,6.302e-06,6.302e-06
24,4865.31,1.04388,5.92037,1.16882,0.00072,0.03518,0.00555,0.00533,0.85591,5.8416,1.17696,5.543e-06,5.543e-06,5.543e-06
25,5066.15,1.03581,5.87662,1.17093,0.00109,0.03774,0.0077,0.00729,0.85426,5.83641,1.17382,4.784e-06,4.784e-06,4.784e-06
26,5266.62,1.0245,5.87432,1.15791,0.00107,0.04034,0.00806,0.00755,0.85016,5.83211,1.16942,4.025e-06,4.025e-06,4.025e-06
27,5467.66,1.04225,5.85246,1.17226,0.00098,0.03788,0.00735,0.00698,0.84842,5.82975,1.16767,3.266e-06,3.266e-06,3.266e-06
28,5668.67,1.03365,5.86759,1.13846,0.00091,0.03779,0.00762,0.00725,0.84831,5.82816,1.16716,2.507e-06,2.507e-06,2.507e-06
29,5869.19,1.03608,5.88797,1.14611,0.00093,0.04025,0.00779,0.00742,0.84791,5.8245,1.16744,1.748e-06,1.748e-06,1.748e-06
30,6069.22,1.02205,5.87552,1.14278,0.00105,0.04271,0.00653,0.00614,0.84588,5.82446,1.16607,9.89e-07,9.89e-07,9.89e-07
