epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2759,1.81075,6.41728,1.49938,0.00535,0.00243,0.00295,0.00179,1.42572,6.04453,1.17507,6.9e-07,6.9e-07,6.9e-07
2,64.7407,1.80656,6.39046,1.54515,0.0029,0.00231,0.00171,0.00136,1.42641,6.04406,1.16903,1.45061e-06,1.45061e-06,1.45061e-06
3,94.7497,1.82266,6.36872,1.54158,0.00367,0.00168,0.00199,0.00169,1.42333,6.04246,1.16597,2.02906e-06,2.02906e-06,2.02906e-06
4,125.02,1.74741,6.41622,1.48302,0.00367,0.00168,0.00199,0.00169,1.42303,6.05109,1.16678,2.42535e-06,2.42535e-06,2.42535e-06
5,156.525,1.77922,6.37392,1.50312,0.00367,0.00168,0.00199,0.00169,1.42438,6.05992,1.16983,2.63948e-06,2.63948e-06,2.63948e-06
6,186.324,1.73314,6.37714,1.47133,0.00367,0.00168,0.00199,0.00169,1.42941,6.06896,1.16984,2.67145e-06,2.67145e-06,2.67145e-06
7,215.904,1.74845,6.3665,1.49236,0.00367,0.00168,0.00199,0.00169,1.43267,6.07618,1.16928,2.52126e-06,2.52126e-06,2.52126e-06
8,245.53,1.74943,6.3729,1.47054,0.00367,0.00168,0.00199,0.00169,1.44053,6.08848,1.17459,2.18891e-06,2.18891e-06,2.18891e-06
9,275.16,1.73733,6.36135,1.48439,0.00367,0.00168,0.00199,0.00169,1.44315,6.10417,1.1785,1.6744e-06,1.6744e-06,1.6744e-06
10,306.351,1.71437,6.3838,1.44603,0.00367,0.00168,0.00199,0.00169,1.4455,6.11902,1.18101,9.7773e-07,9.7773e-07,9.7773e-07
